sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4855;pms5003;3629;6.428;3.435;2024-01-01T00:31:56.569920+00:00;P2;52.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:31:56.569920+00:00;P1;65.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:31:56.569920+00:00;P0;34.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:37:01.145977+00:00;P2;46.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:37:01.145977+00:00;P1;62.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:37:01.145977+00:00;P0;31.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:46:39.541423+00:00;P2;47.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:46:39.541423+00:00;P1;59.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:46:39.541423+00:00;P0;30.00
4855;pms5003;3629;6.428;3.435;2024-01-01T00:46:54.468467+00:00;P2;66.50
4855;pms5003;3629;6.428;3.435;2024-01-01T00:46:54.468467+00:00;P1;76.50
4855;pms5003;3629;6.428;3.435;2024-01-01T01:07:44.062153+00:00;P2;48.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:07:44.062153+00:00;P1;61.50
4855;pms5003;3629;6.428;3.435;2024-01-01T01:07:44.062153+00:00;P0;32.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:07:59.212061+00:00;P2;70.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:07:59.212061+00:00;P1;90.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:13:58.942140+00:00;P2;50.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:13:58.942140+00:00;P1;64.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:13:58.942140+00:00;P0;34.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:43:05.264028+00:00;P2;50.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:43:05.264028+00:00;P1;66.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:43:05.264028+00:00;P0;34.00
4855;pms5003;3629;6.428;3.435;2024-01-01T01:56:28.196453+00:00;P2;48.50
4855;pms5003;3629;6.428;3.435;2024-01-01T01:56:28.196453+00:00;P1;64.50
4855;pms5003;3629;6.428;3.435;2024-01-01T01:56:28.196453+00:00;P0;32.50
4855;pms5003;3629;6.428;3.435;2024-01-01T02:21:18.109906+00:00;P2;49.00
4855;pms5003;3629;6.428;3.435;2024-01-01T02:21:18.109906+00:00;P1;64.00
4855;pms5003;3629;6.428;3.435;2024-01-01T02:21:18.109906+00:00;P0;33.00
4855;pms5003;3629;6.428;3.435;2024-01-01T02:32:29.863718+00:00;P2;57.00
