sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4852;DHT22;3627;6.515;3.400;2024-02-01T12:02:52.744148+00:00;humidity;31.00
4852;DHT22;3627;6.515;3.400;2024-02-01T12:02:52.744148+00:00;temperature;30.00
4852;DHT22;3627;6.515;3.400;2024-02-01T12:03:47.839650+00:00;humidity;31.30
4852;DHT22;3627;6.515;3.400;2024-02-01T12:03:47.839650+00:00;temperature;30.10
4852;DHT22;3627;6.515;3.400;2024-02-01T12:04:46.909811+00:00;humidity;31.40
4852;DHT22;3627;6.515;3.400;2024-02-01T12:04:46.909811+00:00;temperature;30.30
4852;DHT22;3627;6.515;3.400;2024-02-01T12:05:46.292928+00:00;humidity;30.70
4852;DHT22;3627;6.515;3.400;2024-02-01T12:05:46.292928+00:00;temperature;30.30
4852;DHT22;3627;6.515;3.400;2024-02-01T12:06:42.779677+00:00;humidity;30.80
4852;DHT22;3627;6.515;3.400;2024-02-01T12:06:42.779677+00:00;temperature;30.30
4852;DHT22;3627;6.515;3.400;2024-02-01T12:08:50.589822+00:00;humidity;29.90
4852;DHT22;3627;6.515;3.400;2024-02-01T12:08:50.589822+00:00;temperature;30.30
4852;DHT22;3627;6.515;3.400;2024-02-01T12:09:48.521263+00:00;humidity;30.60
4852;DHT22;3627;6.515;3.400;2024-02-01T12:09:48.521263+00:00;temperature;30.40
4852;DHT22;3627;6.515;3.400;2024-02-01T12:10:54.135860+00:00;humidity;30.00
4852;DHT22;3627;6.515;3.400;2024-02-01T12:10:54.135860+00:00;temperature;30.40
4852;DHT22;3627;6.515;3.400;2024-02-01T12:11:52.708511+00:00;humidity;32.20
4852;DHT22;3627;6.515;3.400;2024-02-01T12:11:52.708511+00:00;temperature;30.50
4852;DHT22;3627;6.515;3.400;2024-02-01T12:12:48.852227+00:00;humidity;29.50
4852;DHT22;3627;6.515;3.400;2024-02-01T12:12:48.852227+00:00;temperature;30.60
4852;DHT22;3627;6.515;3.400;2024-02-01T12:13:46.253351+00:00;humidity;31.00
4852;DHT22;3627;6.515;3.400;2024-02-01T12:13:46.253351+00:00;temperature;30.70
4852;DHT22;3627;6.515;3.400;2024-02-01T12:14:47.585364+00:00;humidity;30.10
4852;DHT22;3627;6.515;3.400;2024-02-01T12:14:47.585364+00:00;temperature;30.80
4852;DHT22;3627;6.515;3.400;2024-02-01T12:15:54.361636+00:00;humidity;30.40
4852;DHT22;3627;6.515;3.400;2024-02-01T12:15:54.361636+00:00;temperature;30.80
